projectname,viewname,ordinal,varname,vartype,varlength,varformat,varlabel
Mediflex,V_MEDIFLEX_ADDCYCLE,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_ADDCYCLE,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_ADDCYCLE,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_ADDCYCLE,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_ADDCYCLE,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_ADDCYCLE,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_ADDCYCLE,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_ADDCYCLE,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_ADDCYCLE,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_ADDCYCLE,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_ADDCYCLE,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_ADDCYCLE,32,ADD_CYCLE,char,3,$3.,Add_Cycle
Mediflex,V_MEDIFLEX_ADDCYCLE,33,ADD_CYCLE_STD,char,1,$1.,Add_CycleCoded Value
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,32,ADD_CYCLE,char,3,$3.,Add_Cycle
Mediflex,V_MEDIFLEX_ADDCYCLE_RAW,33,ADD_CYCLE_STD,char,1,$1.,Add_CycleCoded Value
Mediflex,V_MEDIFLEX_AE,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_AE,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_AE,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_AE,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_AE,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_AE,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_AE,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_AE,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_AE,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_AE,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_AE,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_AE,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_AE,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_AE,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_AE,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_AE,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_AE,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_AE,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_AE,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_AE,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_AE,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_AE,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_AE,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_AE,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_AE,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_AE,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_AE,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_AE,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_AE,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_AE,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_AE,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_AE,32,AEYN,char,3,$3.,AEYN
Mediflex,V_MEDIFLEX_AE,33,AEYN_STD,char,1,$1.,AEYNCoded Value
Mediflex,V_MEDIFLEX_AE,34,AETERM,char,200,$200.,AETERM
Mediflex,V_MEDIFLEX_AE,35,AETERM_LNG,char,3,$3.,AETERMUser Language
Mediflex,V_MEDIFLEX_AE,36,AETERM_USR,char,200,$200.,AETERMUser Text
Mediflex,V_MEDIFLEX_AE,37,AESTDTC,num,8,datetime22.3,AESTDTC
Mediflex,V_MEDIFLEX_AE,38,AESTDTC_RAW,char,11,$11.,AESTDTC(Character)
Mediflex,V_MEDIFLEX_AE,39,AESTDTC_INT,num,8,datetime22.3,AESTDTCInterpolated
Mediflex,V_MEDIFLEX_AE,40,AESTDTC_YYYY,num,8,4.,AESTDTCYear
Mediflex,V_MEDIFLEX_AE,41,AESTDTC_MM,num,8,2.,AESTDTCMonth
Mediflex,V_MEDIFLEX_AE,42,AESTDTC_DD,num,8,2.,AESTDTCDay
Mediflex,V_MEDIFLEX_AE,43,AEONG,char,3,$3.,AEONG
Mediflex,V_MEDIFLEX_AE,44,AEONG_STD,char,1,$1.,AEONGCoded Value
Mediflex,V_MEDIFLEX_AE,45,AEENDTC,num,8,datetime22.3,AEENDTC
Mediflex,V_MEDIFLEX_AE,46,AEENDTC_RAW,char,11,$11.,AEENDTC(Character)
Mediflex,V_MEDIFLEX_AE,47,AEENDTC_INT,num,8,datetime22.3,AEENDTCInterpolated
Mediflex,V_MEDIFLEX_AE,48,AEENDTC_YYYY,num,8,4.,AEENDTCYear
Mediflex,V_MEDIFLEX_AE,49,AEENDTC_MM,num,8,2.,AEENDTCMonth
Mediflex,V_MEDIFLEX_AE,50,AEENDTC_DD,num,8,2.,AEENDTCDay
Mediflex,V_MEDIFLEX_AE,51,AELOC,char,50,$50.,AELOC
Mediflex,V_MEDIFLEX_AE,52,AESEV,char,10,$10.,AESEV
Mediflex,V_MEDIFLEX_AE,53,AESEV_STD,char,10,$10.,AESEVCoded Value
Mediflex,V_MEDIFLEX_AE,54,AEACN,char,200,$200.,AEACN
Mediflex,V_MEDIFLEX_AE,55,AEACN_STD,char,25,$25.,AEACNCoded Value
Mediflex,V_MEDIFLEX_AE,56,AEACNOTH,char,200,$200.,AEACNOTH
Mediflex,V_MEDIFLEX_AE,57,AEREL,char,25,$25.,AEREL
Mediflex,V_MEDIFLEX_AE,58,AEREL_STD,char,25,$25.,AERELCoded Value
Mediflex,V_MEDIFLEX_AE,59,AERELNST,char,200,$200.,AERELNST
Mediflex,V_MEDIFLEX_AE,60,AEPATT,char,25,$25.,AEPATT
Mediflex,V_MEDIFLEX_AE,61,AEPATT_STD,char,25,$25.,AEPATTCoded Value
Mediflex,V_MEDIFLEX_AE,62,AEOUT,char,50,$50.,AEOUT
Mediflex,V_MEDIFLEX_AE,63,AEOUT_STD,char,50,$50.,AEOUTCoded Value
Mediflex,V_MEDIFLEX_AE,64,AECONTRT,char,3,$3.,AECONTRT
Mediflex,V_MEDIFLEX_AE,65,AECONTRT_STD,char,1,$1.,AECONTRTCoded Value
Mediflex,V_MEDIFLEX_AE,66,AECONTRTSP,char,50,$50.,AECONTRTSP
Mediflex,V_MEDIFLEX_AE,67,AESER,char,3,$3.,AESER
Mediflex,V_MEDIFLEX_AE,68,AESER_STD,char,1,$1.,AESERCoded Value
Mediflex,V_MEDIFLEX_AE,69,AESCAN,num,8,1.,AESCAN
Mediflex,V_MEDIFLEX_AE,70,AESCAN_RAW,char,2,$2.,AESCAN(Character)
Mediflex,V_MEDIFLEX_AE,71,AECONG,num,8,1.,AECONG
Mediflex,V_MEDIFLEX_AE,72,AECONG_RAW,char,2,$2.,AECONG(Character)
Mediflex,V_MEDIFLEX_AE,73,AESDISAB,num,8,1.,AESDISAB
Mediflex,V_MEDIFLEX_AE,74,AESDISAB_RAW,char,2,$2.,AESDISAB(Character)
Mediflex,V_MEDIFLEX_AE,75,AESDTH,num,8,1.,AESDTH
Mediflex,V_MEDIFLEX_AE,76,AESDTH_RAW,char,2,$2.,AESDTH(Character)
Mediflex,V_MEDIFLEX_AE,77,AESHOSP,num,8,1.,AESHOSP
Mediflex,V_MEDIFLEX_AE,78,AESHOSP_RAW,char,2,$2.,AESHOSP(Character)
Mediflex,V_MEDIFLEX_AE,79,AESLIFE,num,8,1.,AESLIFE
Mediflex,V_MEDIFLEX_AE,80,AESLIFE_RAW,char,2,$2.,AESLIFE(Character)
Mediflex,V_MEDIFLEX_AE,81,AESOD,num,8,1.,AESOD
Mediflex,V_MEDIFLEX_AE,82,AESOD_RAW,char,2,$2.,AESOD(Character)
Mediflex,V_MEDIFLEX_AE,83,AESMIE,num,8,1.,AESMIE
Mediflex,V_MEDIFLEX_AE,84,AESMIE_RAW,char,2,$2.,AESMIE(Character)
Mediflex,V_MEDIFLEX_AE,85,AESMIESP,char,200,$200.,AESMIESP
Mediflex,V_MEDIFLEX_AE,86,LLT,char,200,$200.,LLT - Low Level Term
Mediflex,V_MEDIFLEX_AE_RAW,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_AE_RAW,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_AE_RAW,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_AE_RAW,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_AE_RAW,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_AE_RAW,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_AE_RAW,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_AE_RAW,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_AE_RAW,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_AE_RAW,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_AE_RAW,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_AE_RAW,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_AE_RAW,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_AE_RAW,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_AE_RAW,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_AE_RAW,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_AE_RAW,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_AE_RAW,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_AE_RAW,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_AE_RAW,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_AE_RAW,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_AE_RAW,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_AE_RAW,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_AE_RAW,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_AE_RAW,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_AE_RAW,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_AE_RAW,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_AE_RAW,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_AE_RAW,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_AE_RAW,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_AE_RAW,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_AE_RAW,32,AEYN,char,3,$3.,AEYN
Mediflex,V_MEDIFLEX_AE_RAW,33,AEYN_STD,char,1,$1.,AEYNCoded Value
Mediflex,V_MEDIFLEX_AE_RAW,34,AETERM,char,200,$200.,AETERM
Mediflex,V_MEDIFLEX_AE_RAW,35,AETERM_LNG,char,3,$3.,AETERMUser Language
Mediflex,V_MEDIFLEX_AE_RAW,36,AETERM_USR,char,200,$200.,AETERMUser Text
Mediflex,V_MEDIFLEX_AE_RAW,37,AESTDTC,char,11,$11.,AESTDTC
Mediflex,V_MEDIFLEX_AE_RAW,38,AEONG,char,3,$3.,AEONG
Mediflex,V_MEDIFLEX_AE_RAW,39,AEONG_STD,char,1,$1.,AEONGCoded Value
Mediflex,V_MEDIFLEX_AE_RAW,40,AEENDTC,char,11,$11.,AEENDTC
Mediflex,V_MEDIFLEX_AE_RAW,41,AELOC,char,50,$50.,AELOC
Mediflex,V_MEDIFLEX_AE_RAW,42,AESEV,char,10,$10.,AESEV
Mediflex,V_MEDIFLEX_AE_RAW,43,AESEV_STD,char,10,$10.,AESEVCoded Value
Mediflex,V_MEDIFLEX_AE_RAW,44,AEACN,char,200,$200.,AEACN
Mediflex,V_MEDIFLEX_AE_RAW,45,AEACN_STD,char,25,$25.,AEACNCoded Value
Mediflex,V_MEDIFLEX_AE_RAW,46,AEACNOTH,char,200,$200.,AEACNOTH
Mediflex,V_MEDIFLEX_AE_RAW,47,AEREL,char,25,$25.,AEREL
Mediflex,V_MEDIFLEX_AE_RAW,48,AEREL_STD,char,25,$25.,AERELCoded Value
Mediflex,V_MEDIFLEX_AE_RAW,49,AERELNST,char,200,$200.,AERELNST
Mediflex,V_MEDIFLEX_AE_RAW,50,AEPATT,char,25,$25.,AEPATT
Mediflex,V_MEDIFLEX_AE_RAW,51,AEPATT_STD,char,25,$25.,AEPATTCoded Value
Mediflex,V_MEDIFLEX_AE_RAW,52,AEOUT,char,50,$50.,AEOUT
Mediflex,V_MEDIFLEX_AE_RAW,53,AEOUT_STD,char,50,$50.,AEOUTCoded Value
Mediflex,V_MEDIFLEX_AE_RAW,54,AECONTRT,char,3,$3.,AECONTRT
Mediflex,V_MEDIFLEX_AE_RAW,55,AECONTRT_STD,char,1,$1.,AECONTRTCoded Value
Mediflex,V_MEDIFLEX_AE_RAW,56,AECONTRTSP,char,50,$50.,AECONTRTSP
Mediflex,V_MEDIFLEX_AE_RAW,57,AESER,char,3,$3.,AESER
Mediflex,V_MEDIFLEX_AE_RAW,58,AESER_STD,char,1,$1.,AESERCoded Value
Mediflex,V_MEDIFLEX_AE_RAW,59,AESCAN,char,2,$2.,AESCAN
Mediflex,V_MEDIFLEX_AE_RAW,60,AECONG,char,2,$2.,AECONG
Mediflex,V_MEDIFLEX_AE_RAW,61,AESDISAB,char,2,$2.,AESDISAB
Mediflex,V_MEDIFLEX_AE_RAW,62,AESDTH,char,2,$2.,AESDTH
Mediflex,V_MEDIFLEX_AE_RAW,63,AESHOSP,char,2,$2.,AESHOSP
Mediflex,V_MEDIFLEX_AE_RAW,64,AESLIFE,char,2,$2.,AESLIFE
Mediflex,V_MEDIFLEX_AE_RAW,65,AESOD,char,2,$2.,AESOD
Mediflex,V_MEDIFLEX_AE_RAW,66,AESMIE,char,2,$2.,AESMIE
Mediflex,V_MEDIFLEX_AE_RAW,67,AESMIESP,char,200,$200.,AESMIESP
Mediflex,V_MEDIFLEX_AE_RAW,68,LLT,char,200,$200.,LLT - Low Level Term
Mediflex,V_MEDIFLEX_BLOOD,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_BLOOD,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_BLOOD,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_BLOOD,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_BLOOD,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_BLOOD,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_BLOOD,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_BLOOD,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_BLOOD,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_BLOOD,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_BLOOD,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_BLOOD,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_BLOOD,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_BLOOD,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_BLOOD,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_BLOOD,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_BLOOD,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_BLOOD,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_BLOOD,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_BLOOD,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_BLOOD,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_BLOOD,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_BLOOD,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_BLOOD,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_BLOOD,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_BLOOD,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_BLOOD,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_BLOOD,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_BLOOD,29,MinCreated,num,8,datetime22.3,Earliest data creation time
Mediflex,V_MEDIFLEX_BLOOD,30,MaxUpdated,num,8,datetime22.3,Latest data update time
Mediflex,V_MEDIFLEX_BLOOD,31,StudyEnvSiteNumber,char,20,$20.,StudyEnvSiteNumber
Mediflex,V_MEDIFLEX_BLOOD,32,WBC,num,8,4.1,WBC
Mediflex,V_MEDIFLEX_BLOOD,33,WBC_RAW,char,5,$5.,WBC(Character)
Mediflex,V_MEDIFLEX_BLOOD,34,RBC,num,8,3.1,RBC
Mediflex,V_MEDIFLEX_BLOOD,35,RBC_RAW,char,4,$4.,RBC(Character)
Mediflex,V_MEDIFLEX_BLOOD,36,HEMOGLOBIN,num,8,2.,HEMOGLOBIN
Mediflex,V_MEDIFLEX_BLOOD,37,HEMOGLOBIN_RAW,char,3,$3.,HEMOGLOBIN(Character)
Mediflex,V_MEDIFLEX_BLOOD,38,HEMATOCRIT,num,8,2.,HEMATOCRIT
Mediflex,V_MEDIFLEX_BLOOD,39,HEMATOCRIT_RAW,char,3,$3.,HEMATOCRIT(Character)
Mediflex,V_MEDIFLEX_BLOOD_RAW,1,userid,num,8,10.,Internal id for the user
Mediflex,V_MEDIFLEX_BLOOD_RAW,2,projectid,num,8,10.,projectid
Mediflex,V_MEDIFLEX_BLOOD_RAW,3,project,char,255,$255.,project
Mediflex,V_MEDIFLEX_BLOOD_RAW,4,studyid,num,8,10.,Internal id for the study
Mediflex,V_MEDIFLEX_BLOOD_RAW,5,environmentName,char,20,$20.,Environment
Mediflex,V_MEDIFLEX_BLOOD_RAW,6,subjectId,num,8,10.,Internal id for the subject
Mediflex,V_MEDIFLEX_BLOOD_RAW,7,StudySiteId,num,8,10.,Internal id for study site
Mediflex,V_MEDIFLEX_BLOOD_RAW,8,Subject,char,50,$50.,Subject name or identifier
Mediflex,V_MEDIFLEX_BLOOD_RAW,9,siteid,num,8,10.,Internal id for the site
Mediflex,V_MEDIFLEX_BLOOD_RAW,10,Site,char,255,$255.,Site name
Mediflex,V_MEDIFLEX_BLOOD_RAW,11,SiteNumber,char,50,$50.,SiteNumber
Mediflex,V_MEDIFLEX_BLOOD_RAW,12,SiteGroup,char,40,$40.,SiteGroup
Mediflex,V_MEDIFLEX_BLOOD_RAW,13,instanceId,num,8,10.,Internal id for the instance
Mediflex,V_MEDIFLEX_BLOOD_RAW,14,InstanceName,char,255,$255.,Folder instance name
Mediflex,V_MEDIFLEX_BLOOD_RAW,15,InstanceRepeatNumber,num,8,10.,InstanceRepeatNumber
Mediflex,V_MEDIFLEX_BLOOD_RAW,16,folderid,num,8,10.,Internal id for the folder
Mediflex,V_MEDIFLEX_BLOOD_RAW,17,Folder,char,50,$50.,Folder OID
Mediflex,V_MEDIFLEX_BLOOD_RAW,18,FolderName,char,255,$255.,Folder name
Mediflex,V_MEDIFLEX_BLOOD_RAW,19,FolderSeq,num,8,12.1,Folder sequence number
Mediflex,V_MEDIFLEX_BLOOD_RAW,20,TargetDays,num,8,10.,Target days from study start
Mediflex,V_MEDIFLEX_BLOOD_RAW,21,DataPageId,num,8,10.,Internal id for data page
Mediflex,V_MEDIFLEX_BLOOD_RAW,22,DataPageName,char,255,$255.,eCRF page name
Mediflex,V_MEDIFLEX_BLOOD_RAW,23,PageRepeatNumber,num,8,10.,Sequence number of eCRF page in folder
Mediflex,V_MEDIFLEX_BLOOD_RAW,24,RecordDate,num,8,datetime22.3,Clinical date of record (ex: visit date)
Mediflex,V_MEDIFLEX_BLOOD_RAW,25,RecordId,num,8,10.,Internal id for the record
Mediflex,V_MEDIFLEX_BLOOD_RAW,26,recordposition,num,8,10.,Record number
Mediflex,V_MEDIFLEX_BLOOD_RAW,27,RecordActive,num,8,1.,Is record active
Mediflex,V_MEDIFLEX_BLOOD_RAW,28,SaveTs,num,8,datetime22.3,Timestamp of last save in clinical views
Mediflex,V_MEDIFLEX_BLOOD_RAW,29,MinCreated,num,8,datetime22.3,Earliest data creation time
